queue_weight,prediction_weight,pedestrian_weight,pressure_exponent,adaptive_min_green,avg_wait_seconds,throughput,final_queue,max_queue,pedestrian_avg_wait_seconds,pedestrian_final_queue
5.0,0.0,0.0,1.0,5,474.0806172325362,42117,3506,7029,726.3001649257834,1351
5.0,0.0,0.0,1.0,8,474.0806172325362,42117,3506,7029,726.3001649257834,1351
1.0,0.0,0.0,1.0,5,474.30024329833634,42116,3507,7031,726.3001649257834,1351
1.0,0.0,0.0,1.0,8,474.30024329833634,42116,3507,7031,726.3001649257834,1351
2.0,0.0,0.0,1.0,5,474.30024329833634,42116,3507,7031,726.3001649257834,1351
2.0,0.0,0.0,1.0,8,474.30024329833634,42116,3507,7031,726.3001649257834,1351
1.0,2.0,0.1,1.0,5,474.3712601100322,42119,3504,7028,726.3001649257834,1351
1.0,2.0,0.1,1.0,8,474.3712601100322,42119,3504,7028,726.3001649257834,1351
5.0,1.0,0.0,1.0,8,474.646121473818,42113,3510,7034,726.3001649257834,1351
5.0,1.0,0.0,1.0,5,474.646121473818,42113,3510,7034,726.3001649257834,1351
5.0,0.0,0.1,1.0,5,474.82234837691516,42111,3512,7037,726.3001649257834,1351
5.0,0.0,0.1,1.0,8,474.82234837691516,42111,3512,7037,726.3001649257834,1351
1.0,2.0,0.0,1.0,5,474.9814786401596,42113,3510,7033,726.3001649257834,1351
1.0,2.0,0.0,1.0,8,474.9814786401596,42113,3510,7033,726.3001649257834,1351
5.0,1.0,0.1,1.0,5,475.47596606974554,42104,3519,7042,726.3001649257834,1351
5.0,1.0,0.1,1.0,8,475.47596606974554,42104,3519,7042,726.3001649257834,1351
2.0,0.0,0.1,1.0,8,475.56670977357913,42106,3517,7043,726.3001649257834,1351
2.0,0.0,0.1,1.0,5,475.56670977357913,42106,3517,7043,726.3001649257834,1351
1.0,0.0,0.1,1.0,5,475.6258904499923,42106,3517,7042,726.3001649257834,1351
1.0,0.0,0.1,1.0,8,475.6258904499923,42106,3517,7042,726.3001649257834,1351
5.0,2.0,0.1,1.0,5,475.9257392104859,42102,3521,7045,726.3001649257834,1351
5.0,2.0,0.1,1.0,8,475.9257392104859,42102,3521,7045,726.3001649257834,1351
2.0,2.0,0.1,1.0,5,475.9993862744668,42104,3519,7047,726.3001649257834,1351
2.0,2.0,0.1,1.0,8,475.9993862744668,42104,3519,7047,726.3001649257834,1351
1.0,1.0,0.1,1.0,5,476.04804594173993,42104,3519,7044,726.3001649257834,1351
1.0,1.0,0.1,1.0,8,476.04804594173993,42104,3519,7044,726.3001649257834,1351
1.0,1.0,0.0,1.0,5,476.0611972031651,42104,3519,7047,726.3001649257834,1351
1.0,1.0,0.0,1.0,8,476.0611972031651,42104,3519,7047,726.3001649257834,1351
2.0,2.0,0.0,1.0,5,476.0611972031651,42104,3519,7047,726.3001649257834,1351
2.0,2.0,0.0,1.0,8,476.0611972031651,42104,3519,7047,726.3001649257834,1351
5.0,2.0,0.0,1.0,5,476.08618459987287,42099,3524,7047,726.3001649257834,1351
5.0,2.0,0.0,1.0,8,476.08618459987287,42099,3524,7047,726.3001649257834,1351
2.0,1.0,0.1,1.0,5,476.55699975889354,42096,3527,7052,726.3001649257834,1351
2.0,1.0,0.1,1.0,8,476.55699975889354,42096,3527,7052,726.3001649257834,1351
2.0,1.0,0.0,1.0,5,476.70560901299785,42095,3528,7052,726.3001649257834,1351
2.0,1.0,0.0,1.0,8,476.70560901299785,42095,3528,7052,726.3001649257834,1351
5.0,1.0,0.0,2.0,8,480.42084036560505,42045,3578,7092,726.3001649257834,1351
5.0,1.0,0.0,2.0,5,480.4379370054578,42045,3578,7092,726.3001649257834,1351
5.0,2.0,0.1,2.0,8,480.5576134844267,42041,3582,7094,726.3001649257834,1351
5.0,2.0,0.1,2.0,5,480.5655042412818,42041,3582,7094,726.3001649257834,1351
2.0,1.0,0.1,2.0,8,480.6733445849681,42040,3583,7094,726.3001649257834,1351
2.0,1.0,0.1,2.0,5,480.67597483725314,42040,3583,7094,726.3001649257834,1351
2.0,1.0,0.0,2.0,8,480.8824496416281,42041,3582,7097,726.3001649257834,1351
2.0,1.0,0.0,2.0,5,480.88376476777063,42041,3582,7097,726.3001649257834,1351
5.0,2.0,0.0,2.0,8,480.91664292133356,42037,3586,7097,726.3001649257834,1351
5.0,2.0,0.0,2.0,5,480.9219034259036,42037,3586,7097,726.3001649257834,1351
5.0,0.0,0.1,2.0,8,481.0718278061504,42044,3579,7093,726.3001649257834,1351
5.0,0.0,0.1,2.0,5,481.15731100541393,42045,3578,7093,726.3001649257834,1351
5.0,1.0,0.1,2.0,8,481.16651688841154,42038,3585,7099,726.3001649257834,1351
5.0,1.0,0.1,2.0,5,481.18492865440675,42038,3585,7099,726.3001649257834,1351
1.0,0.0,0.0,2.0,8,481.25857571838765,42044,3579,7096,726.3001649257834,1351
2.0,0.0,0.0,2.0,8,481.25857571838765,42044,3579,7096,726.3001649257834,1351
5.0,0.0,0.0,2.0,8,481.2612059706727,42044,3579,7096,726.3001649257834,1351
2.0,0.0,0.0,2.0,5,481.32301689937094,42044,3579,7096,726.3001649257834,1351
5.0,0.0,0.0,2.0,5,481.32301689937094,42044,3579,7096,726.3001649257834,1351
1.0,0.0,0.0,2.0,5,481.32301689937094,42044,3579,7096,726.3001649257834,1351
1.0,0.0,0.1,2.0,8,481.8622186178024,42040,3583,7098,726.3001649257834,1351
2.0,0.0,0.1,2.0,8,482.034500142472,42040,3583,7100,726.3001649257834,1351
2.0,0.0,0.1,2.0,5,482.1423404861583,42038,3585,7100,726.3001649257834,1351
1.0,1.0,0.0,2.0,8,482.4737522740723,42030,3593,7112,726.3001649257834,1351
2.0,2.0,0.0,2.0,8,482.4737522740723,42030,3593,7112,726.3001649257834,1351
2.0,2.0,0.0,2.0,5,482.4750674002148,42030,3593,7112,726.3001649257834,1351
1.0,1.0,0.0,2.0,5,482.4750674002148,42030,3593,7112,726.3001649257834,1351
1.0,0.0,0.1,2.0,5,482.54213883348314,42034,3589,7103,726.3001649257834,1351
1.0,1.0,0.1,2.0,8,482.6828573307323,42021,3602,7113,726.3001649257834,1351
1.0,1.0,0.1,2.0,5,482.6841724568748,42021,3602,7113,726.3001649257834,1351
2.0,2.0,0.1,2.0,8,483.9217061569822,42012,3611,7126,726.3001649257834,1351
2.0,2.0,0.1,2.0,5,483.92302128312474,42012,3611,7126,726.3001649257834,1351
2.0,1.0,0.0,3.0,8,484.48721039826404,42013,3610,7124,726.3001649257834,1351
2.0,1.0,0.0,3.0,5,484.5989961203779,42013,3610,7124,726.3001649257834,1351
1.0,2.0,0.1,2.0,8,484.9290927821494,42004,3619,7129,726.3001649257834,1351
1.0,2.0,0.1,2.0,5,484.9317230344344,42003,3620,7129,726.3001649257834,1351
5.0,2.0,0.0,3.0,8,485.02641211669555,42014,3609,7130,726.3001649257834,1351
1.0,2.0,0.0,2.0,8,485.2552440654933,42004,3619,7135,726.3001649257834,1351
1.0,2.0,0.0,2.0,5,485.25918944392083,42004,3619,7135,726.3001649257834,1351
5.0,1.0,0.1,3.0,8,485.63531552068036,42011,3612,7129,726.3001649257834,1351
5.0,2.0,0.0,3.0,5,485.7115928369463,42007,3616,7135,726.3001649257834,1351
2.0,1.0,0.1,3.0,8,485.774718891787,42000,3623,7136,726.3001649257834,1351
5.0,1.0,0.0,3.0,8,485.8286390636302,42014,3609,7133,726.3001649257834,1351
5.0,2.0,0.1,3.0,8,485.88913486618594,42007,3616,7137,726.3001649257834,1351
2.0,1.0,0.1,3.0,5,485.940424785744,42000,3623,7136,726.3001649257834,1351
5.0,2.0,0.1,3.0,5,486.15873572540164,42005,3618,7137,726.3001649257834,1351
2.0,2.0,0.1,3.0,8,486.32312649321614,42000,3623,7140,726.3001649257834,1351
2.0,2.0,0.1,3.0,5,486.34942901606644,42000,3623,7140,726.3001649257834,1351
1.0,1.0,0.1,3.0,8,486.5125046577384,41995,3628,7141,726.3001649257834,1351
1.0,1.0,0.1,3.0,5,486.54143743287375,41995,3628,7141,726.3001649257834,1351
5.0,1.0,0.1,3.0,5,486.82287442737214,42008,3615,7139,726.3001649257834,1351
5.0,1.0,0.0,3.0,5,487.0845845297328,42004,3619,7143,726.3001649257834,1351
1.0,0.0,0.0,3.0,8,487.4567652280648,42000,3623,7147,726.3001649257834,1351
2.0,0.0,0.0,3.0,8,487.4567652280648,42000,3623,7147,726.3001649257834,1351
5.0,0.0,0.0,3.0,8,487.4567652280648,42000,3623,7147,726.3001649257834,1351
1.0,1.0,0.0,3.0,8,487.5093702737654,41986,3637,7154,726.3001649257834,1351
2.0,2.0,0.0,3.0,8,487.5093702737654,41986,3637,7154,726.3001649257834,1351
2.0,2.0,0.0,3.0,5,487.53567279661576,41986,3637,7154,726.3001649257834,1351
1.0,1.0,0.0,3.0,5,487.53567279661576,41986,3637,7154,726.3001649257834,1351
2.0,0.0,0.1,3.0,8,488.04462661376937,41994,3629,7149,726.3001649257834,1351
5.0,0.0,0.1,3.0,8,488.1958661201587,41995,3628,7155,726.3001649257834,1351
1.0,0.0,0.1,3.0,8,488.553580430923,41994,3629,7151,726.3001649257834,1351
5.0,0.0,0.0,3.0,5,489.77796286960523,41988,3635,7163,726.3001649257834,1351
2.0,0.0,0.0,3.0,5,489.77927799574775,41988,3635,7163,726.3001649257834,1351
1.0,0.0,0.0,3.0,5,489.77927799574775,41988,3635,7163,726.3001649257834,1351
5.0,0.0,0.1,3.0,5,489.966025907985,41985,3638,7166,726.3001649257834,1351
1.0,0.0,0.1,3.0,5,490.59860158253514,41980,3643,7166,726.3001649257834,1351
2.0,0.0,0.1,3.0,5,490.85242092804066,41975,3648,7173,726.3001649257834,1351
1.0,2.0,0.0,3.0,8,491.1483243101067,41959,3664,7180,726.3001649257834,1351
1.0,2.0,0.0,3.0,5,491.1759419590996,41958,3665,7180,726.3001649257834,1351
1.0,2.0,0.1,3.0,8,491.56258904499924,41953,3670,7183,726.3001649257834,1351
1.0,2.0,0.1,3.0,5,491.5928369462771,41951,3672,7183,726.3001649257834,1351
